local_autoridade,escopo,sigla,urn_lex,nota_interpretação
br:camara.deputados,proposicao,MPV,br:camara.deputados:projeto.medida.provisoria;mpv,
br:camara.deputados,proposicao,MSC,,Mensagem
br:camara.deputados,proposicao,PDC,,Projeto de Decreto Legislativo
br:camara.deputados,proposicao,PEC,br:camara.deputados:proposta.emenda.constitucional;pec,        
br:camara.deputados,proposicao,PL,br:camara.deputados:projeto.lei;pl,
br:camara.deputados,proposicao,PLN,br:camara.deputados:projeto.lei;pln,Projeto de Lei do CN
br:camara.deputados,proposicao,PLP,br:camara.deputados:projeto.lei.complementar;plp,
br:camara.deputados,proposicao,PLV,,Projeto de Lei de Conversão
br:camara.deputados,proposicao,PRC,,Projeto de Resolução
br:camara.deputados,proposicao,RCP,,Requerimento de Instituição de Comissão Parlamentar de Inquérito
br:camara.deputados,proposicao,REC,,Recurso
br:camara.deputados,proposicao,REP,,Representação
br:camara.deputados,proposicao,REQ,,Requerimento
br;sao.paulo;sao.paulo:camara.municipal,proposicao,PDL,br;sao.paulo;sao.paulo:camara.municipal:projeto.decreto.legislativo;pdl,
br;sao.paulo;sao.paulo:camara.municipal,proposicao,PL,br;sao.paulo;sao.paulo:camara.municipal:projeto.lei;pl,
br;sao.paulo;sao.paulo:camara.municipal,proposicao,PLO,br;sao.paulo;sao.paulo:camara.municipal:projeto.lei.organica;plo,
br:senado.federal,proposicao,MPV,br:senado.federal:projeto.medida.provisoria;mpv,
br:senado.federal,proposicao,MSF,,Mensagem do Senado Federal
br:senado.federal,proposicao,OFS,,
br:senado.federal,proposicao,PDS,br:senado.federal:projeto.decreto.legislativo;pds,  
br:senado.federal,proposicao,PEC,br:senado.federal:proposta.emenda.constitucional;pec,
br:senado.federal,proposicao,PLC,br:senado.federal:projeto.lei.complementar;plc,
br:senado.federal,proposicao,PLS,br:senado.federal:projeto.lei;pls,
br:senado.federal,proposicao,PLV,,
br:senado.federal,proposicao,PRS,br:senado.federal:projeto.resolucao;prs,
br:senado.federal,proposicao,SCD,br:senado.federal:substitutivo.camara.deputados.projeto.lei.senado;scd,
fr:senat.federale,proposicao,PL,fr:senat.federale:projet.loi,
